,id,agency,agency_type,distribution_channel,product_name,claim,duration,destination,net_sales,commission,gender,age
0,1,CBH,Travel Agency,Offline,Comprehensive Plan,No,186,MALAYSIA,-29,9.57,F,81
1,2,CBH,Travel Agency,Offline,Comprehensive Plan,No,186,MALAYSIA,-29,9.57,F,71
2,3,JZI,Airlines,Online,Value Plan,No,66,UNITED STATES,-121,42.35,F,44
3,4,JZI,Airlines,Online,Basic Plan,No,1,MALAYSIA,-18,6.3,M,47
4,5,KML,Travel Agency,Online,Premier Plan,No,53,NORWAY,-130,49.4,F,48
5,6,JZI,Airlines,Online,Basic Plan,No,3,MALAYSIA,-18,6.3,M,47
6,7,C2B,Airlines,Online,Bronze Plan,No,12,SINGAPORE,46,11.54,F,44
7,8,C2B,Airlines,Online,Bronze Plan,No,7,SINGAPORE,18,4.39,F,25
8,9,C2B,Airlines,Online,Bronze Plan,Yes,12,SINGAPORE,94,23.5,M,34
9,10,C2B,Airlines,Online,Silver Plan,No,190,SINGAPORE,295,73.69,M,26
10,11,C2B,Airlines,Online,Annual Silver Plan,No,364,SINGAPORE,389,97.25,F,30
11,12,JWT,Airlines,Online,Value Plan,No,11,INDIA,50,20.0,M,118
12,13,RAB,Airlines,Online,Value Plan,No,4,BRUNEI DARUSSALAM,15,6.0,M,44
13,14,JZI,Airlines,Online,Basic Plan,No,45,AUSTRALIA,26,9.1,M,31
14,15,JZI,Airlines,Online,Basic Plan,No,181,INDONESIA,30,10.5,F,48
15,16,JZI,Airlines,Online,Basic Plan,No,5,INDONESIA,22,7.7,F,29
16,17,JZI,Airlines,Online,Basic Plan,No,22,THAILAND,18,6.3,M,66
17,18,JZI,Airlines,Online,Basic Plan,No,76,AUSTRALIA,35,12.25,M,57
18,19,JZI,Airlines,Online,Basic Plan,No,41,CHINA,44,15.4,F,37
19,20,JZI,Airlines,Online,Basic Plan,No,43,THAILAND,22,7.7,F,34
20,21,JZI,Airlines,Online,Basic Plan,No,5,CHINA,22,7.7,M,41
21,22,ART,Airlines,Online,24 Protect,No,56,PHILIPPINES,76,26.59,F,48
22,23,ART,Airlines,Online,24 Protect,No,3,SINGAPORE,13,4.38,M,48
23,24,ART,Airlines,Online,24 Protect,No,3,MALAYSIA,5,1.75,M,48
24,25,C2B,Airlines,Online,Bronze Plan,No,20,SINGAPORE,47,11.75,M,30
25,26,C2B,Airlines,Online,Bronze Plan,No,29,SINGAPORE,27,6.75,M,30
26,27,C2B,Airlines,Online,Bronze Plan,No,164,SINGAPORE,70,17.39,M,26
27,28,C2B,Airlines,Online,Bronze Plan,No,23,SINGAPORE,31,7.64,F,35
28,29,C2B,Airlines,Online,Silver Plan,No,13,SINGAPORE,20,4.88,M,34
29,30,C2B,Airlines,Online,Silver Plan,No,29,SINGAPORE,32,7.96,M,45
30,31,C2B,Airlines,Online,Gold Plan,No,23,SINGAPORE,77,19.34,F,52
31,32,JWT,Airlines,Online,Value Plan,No,4,INDIA,62,24.8,F,118
32,33,JZI,Airlines,Online,Basic Plan,No,5,HONG KONG,22,7.7,M,67
33,34,JZI,Airlines,Online,Basic Plan,No,5,INDONESIA,22,7.7,M,53
34,35,JZI,Airlines,Online,Basic Plan,No,6,THAILAND,22,7.7,F,60
35,36,JZI,Airlines,Online,Basic Plan,No,2,VIET NAM,18,6.3,F,57
36,37,JZI,Airlines,Online,Basic Plan,No,15,CAMBODIA,30,10.5,M,57
37,38,JZI,Airlines,Online,Basic Plan,No,90,MALAYSIA,22,7.7,F,57
38,39,JZI,Airlines,Online,Basic Plan,No,28,HONG KONG,35,12.25,M,52
39,40,JZI,Airlines,Online,Basic Plan,No,21,VIET NAM,22,7.7,M,40
40,41,JZI,Airlines,Online,Basic Plan,No,130,INDONESIA,33,11.55,F,38
41,42,JZI,Airlines,Online,Basic Plan,No,34,CHINA,22,7.7,F,46
42,43,JZI,Airlines,Online,Value Plan,No,49,AUSTRIA,67,23.45,F,49
43,44,JZI,Airlines,Online,Value Plan,No,33,AUSTRALIA,92,32.2,M,72
44,45,C2B,Airlines,Online,Bronze Plan,No,19,SINGAPORE,18,4.39,M,31
45,46,C2B,Airlines,Online,Bronze Plan,No,4,SINGAPORE,18,4.39,M,35
46,47,C2B,Airlines,Online,Bronze Plan,No,9,SINGAPORE,18,4.39,F,26
47,48,C2B,Airlines,Online,Bronze Plan,No,28,SINGAPORE,18,4.39,M,33
48,49,C2B,Airlines,Online,Bronze Plan,No,18,SINGAPORE,0,7.47,M,45
49,50,C2B,Airlines,Online,Bronze Plan,No,18,SINGAPORE,38,9.59,F,34
